travel_mode,travel_time_number,age,individual_travel_frequency,household_vehicles,household_size
1,653,37,88,4,4
1,660,63,12,2,6
1,1166,41,30,2,4
0,1400,37,38,2,4
0,2288,29,14,0,1
1,1109,42,30,2,7
1,2160,39,30,2,4
1,720,36,58,2,8
1,673,76,8,2,2
1,227,47,42,3,6
1,448,29,86,2,4
1,1500,60,12,2,3
1,1120.486,67,23,1,2
1,305,88,10,1,2
1,1620,22,24,4,4
1,2300,30,26,2,4
1,600,29,20,2,6
0,215,34,19,1,4
1,4594,60,6,2,2
1,781,55,32,2,3
0,1200,17,6,1,6
1,2354,44,24,2,4
1,839,41,24,2,4
1,3375,25,11,1,1
1,1085,52,36,2,3
1,4101,28,16,2,3
1,780,53,80,2,3
1,2457,60,12,1,2
0,750,33,34,2,3
0,368,48,34,2,5
1,4141.03,52,30,2,4
1,1883,32,6,2,3
1,384.236,53,16,2,3
1,1696,40,9,1,6
0,589,40,22,1,4
1,154,62,33,3,3
1,2836,65,54,2,2
1,1448.223,57,12,1,2
1,2823,39,48,2,4
0,960,16,12,2,5
1,597,64,6,2,3
1,675.914,42,36,2,5
1,1160.486,49,116,4,5
1,540,30,11,1,6
1,522,39,16,2,5
1,3372.295,45,12,2,4
1,1020,40,34,2,4
1,1158,54,12,2,3
1,480,49,16,2,4
1,1804,36,36,2,4
1,1374.337,63,51,3,3
1,240,34,60,2,5
1,450,69,11,1,2
1,1875,60,12,1,1
0,590,32,19,1,3
1,148.055,56,17,1,2
1,1720,66,10,1,2
1,241.01,58,34,2,2
1,1140,32,9,1,2
1,176.98,52,11,1,2
0,319.99998,39,11,1,5
1,3274.268,55,55,5,4
1,2458,36,12,1,5
0,25.99998,40,4,0,1
0,642.465,45,21,1,4
0,950,36,8,1,5
1,1800,56,16,2,2
0,592,20,3,0,1
1,1464,33,18,1,1
1,422,24,15,1,1
1,239,36,10,1,5
1,522,24,15,3,4
0,421,23,17,0,4
1,431.708,42,23,1,1
1,1200,25,35,1,2
1,439,48,23,1,2
1,1841.06406,60,28,2,4
1,172.153,64,27,1,2
0,240,70,24,0,2
0,300,52,14,0,9
0,1320,64,38,2,4
1,1223.247,45,38,2,4
1,909,37,28,2,4
1,1906.505,41,72,2,6
1,1194.751,30,11,1,3
1,300,65,18,3,3
0,293,43,20,2,3
1,2183.306,52,28,2,3
0,19.99998,57,24,2,4
1,710.583,47,9,1,5
1,673,42,30,3,7
1,2160,24,24,3,3
1,157,44,60,2,4
1,1245,34,30,1,5
1,875,48,34,2,5
0,934,31,32,2,2
1,2201,54,14,2,3
1,495.036,54,24,2,4
0,1080,23,5,0,1
0,666,67,18,1,2
1,985.9999,48,24,2,3
0,782,26,5,1,2
1,1261,65,32,2,3
0,250,24,13,0,2
1,3300,34,13,1,3
1,723,56,69,3,3
1,640.625,43,36,2,4
1,650,34,42,2,4
1,1099,71,24,2,2
1,335.789,42,13,1,3
1,1740,37,26,2,4
1,2446,46,16,2,5
1,1832,33,32,2,4
1,1150,27,19,1,3
1,799,61,30,3,3
0,360,37,27,3,2
1,226,42,28,2,9
1,550,66,26,2,2
1,722,53,78,2,3
1,364,22,10,2,5
1,678.659,43,44,2,5
1,415,51,60,3,5
0,1920,32,12,1,3
0,550,50,8,0,8
1,420,35,38,2,6
1,3007.818,38,18,2,5
1,544.069,26,22,2,4
1,900,23,24,3,3
1,1350,47,22,2,5
1,284,60,56,2,5
1,534,43,24,2,5
1,2086.786,37,46,2,4
1,420,53,9,1,4
1,335,43,10,2,5
1,1664.093,26,16,2,2
1,807,37,44,2,5
1,3855,57,24,2,4
1,392,78,6,1,2
1,851,44,24,2,5
1,286.377,56,45,3,3
1,468.965,23,78,3,4
1,941.304,73,24,2,2
1,2300,53,22,2,3
1,2068.522,43,48,2,6
0,180,20,20,2,5
1,733.173,49,26,2,2
1,432,63,16,2,2
1,72,53,24,4,3
1,278,66,24,3,3
1,600,75,18,1,3
0,565.514,43,22,1,4
1,1860,38,42,2,4
1,167.49,41,72,2,6
0,300,42,22,2,5
1,150,46,54,3,6
1,1215.378,50,9,1,1
1,1063,63,48,3,3
1,845,56,42,2,3
1,354,63,20,2,2
1,882.795,42,56,2,7
